_id,mmsi,shipCallSigns,shipName,shipSize,shipType,shipWidth
647b19336d9bd758b94caa45,413695030,SSD,XINGHUI1,141,"Cargo ship, General",20
647b19346d9bd758b94caa5b,413308130,@@@@@@@,MING YUAN 03,108,"Cargo ship, General",18
647b19366d9bd758b94caa75,413232470,BOVV6,ZI JING ERSHI ER HAO,128,"Passenger ship, General",21
647b19386d9bd758b94caa8b,412524060,BJYI,YONG ZHENG,117,"Passenger ship, General",20
647b19396d9bd758b94caa99,413520260,BOEA8,XIN HAI 16 HAO,106,"Passenger ship, General",20
647b193a6d9bd758b94caaae,413234410,BOVS5,HAI ZHUANG 8 HAO,109,"Passenger ship, General",20
647b193e6d9bd758b94caae0,413234640,BOVX8,YANG FAN HAI AN,122,"Passenger ship, General",20
647b19496d9bd758b94cab5c,413487000,BYAC,HAIYANGSHIYOU602,66,"Other types of ship, General",14
647b194b6d9bd758b94cab70,413216110,BOAS2,XIANG SU 6,229,"Cargo ship, General",32
647b194c6d9bd758b94cab7d,994126632,,QIONG HAI DIAN VIRTU,0,,0
647b194d6d9bd758b94cab84,994136624,,BEI SHUI DAO 6 1    ,0,,0
647b194f6d9bd758b94cab95,994126633,,QIONG HAI DIAN VIRTU,0,,0
647b19556d9bd758b94cabbf,994126808,,JIAHE 128 WRECK     ,0,,0
647b19566d9bd758b94cabcb,413234380,BPOU4,SHUANG TAI BAO CHANG,106,"Passenger ship, General",20
647b195c6d9bd758b94cabfe,413504610,@CM8,HU.JIN.XIANG,96,Not available / no ship,14
647b19656d9bd758b94cac52,994131786,,QZ DING XIAN ZHI JIN,2,,2
647b196b6d9bd758b94cac8d,413240090,BOHV2,KAN TAN 302,78,"Other types of ship, General",18
647b196d6d9bd758b94cac92,667002095,9LU2898,CHANG NING,158,"Cargo ship, General",24
647b196d6d9bd758b94cac9b,413246870,BOLH8,RONG  JING   668,92,"Cargo ship, General",20
647b19706d9bd758b94cacbc,413234440,BOVV5,ZI JING JIU HAO,106,"Passenger ship, General",20
647b19726d9bd758b94cacdb,667001763,9LU2566,HONG SHUN,110,"Cargo ship, General",17
647b19766d9bd758b94cacfd,413700860,BPEF7,LIANG XIANG 9,153,"Cargo ship, General",21
647b197e6d9bd758b94cad4f,413523190,BOVT4,LI MU LING,124,"Passenger ship, General",20
647b19916d9bd758b94cadef,413523240,BOVT5,YING GE LING,124,"Passenger ship, General",21
647b19996d9bd758b94cae47,413515410,BPFJ9,HANG  DE  16,106,"Cargo ship, General",16
647b19a06d9bd758b94cae86,413521610,BPEC9,YUE HAI TIE 3 HAO,188,"Passenger ship, General",26
647b19a26d9bd758b94cae9f,994131788,,QZ DING XIAN ZHI ZHO,2,,2
647b19a26d9bd758b94caea1,412551030,BUKI,CHEN HUA SHUN,97,"Cargo ship, General",16
647b19a76d9bd758b94caec9,413521620,BPED2,YUE HAI TIE 4 HAO,188,"Passenger ship, General",26
647b19ac6d9bd758b94caeeb,413233640,BOVZ4,SHUANG TAI 37,127,"Passenger ship, General",21
647b19ae6d9bd758b94caf06,994136847,,LEI ZHOU XI BU 2    ,0,,0
647b19b06d9bd758b94caf11,413233650,BOGI6,SHUANGTAI 29,128,"Passenger ship, General",21
647b19b16d9bd758b94caf13,994136849,,LEI ZHOU XI BU 3    ,0,,0
647b19b26d9bd758b94caf1d,413393990,BPCQ4,XIN YI BO LI 01,99,"Cargo ship, General",16
647b19b46d9bd758b94caf34,994136873,,LEI ZHOU XI BU 4    ,0,,0
647b19b56d9bd758b94caf3c,413363310,BPNQ6,ZHONG HONG FA ZHAN,96,"Cargo ship, General",16
647b19bc6d9bd758b94caf83,413337590,BOXO7,KAN TAN 222,75,Tug,18
647b19be6d9bd758b94caf95,413232480,BOVX7,ZI JING SHI WU HAO,127,"Passenger ship, General",21
647b19c36d9bd758b94cafcd,413705540,BQOX,HONG TAI 223,166,"Cargo ship, General",25
647b19d26d9bd758b94cb064,412522670,BOEA7,XIN HAI 12 HAO,98,"Passenger ship, General",20
647b19dd6d9bd758b94cb0c9,412465470,BXHM,YUE DAO JUN 1,79,"Vessel, Engaged in dredging or underwater operations",14
647b19dd6d9bd758b94cb0cd,994131791,,MA CUN GANG1,2,,2
647b19ea6d9bd758b94cb14a,413396680,BPCZ2,QI ZI WAN,130,"Passenger ship, General",21
647b19ee6d9bd758b94cb176,413271420,BDPI,WUXING 6,190,"Cargo ship, General",32
647b19ef6d9bd758b94cb17c,412592250,BRPZ,FU CHANG,112,"Tanker, General",15
647b19f16d9bd758b94cb199,413234430,BOVM4,HAI ZHUANG 2 HAO,95,"Passenger ship, No additional information",19
647b19f16d9bd758b94cb19d,413234420,BOVN2,HAI ZHUANG 6 HAO,109,"Passenger ship, General",20
647b19f26d9bd758b94cb1ab,413233560,BOVM6,SHUANG TAI 12,94,"Passenger ship, No additional information",20
647b19f36d9bd758b94cb1b3,413242450,BPIH9,SHENG FENG 17,122,"Cargo ship, General",18
647b19f76d9bd758b94cb1e0,413523210,BOVT3,BAI SHI LING,124,"Passenger ship, General",21
647b19f86d9bd758b94cb1e6,412477850,BYTB,ZHAN GANG TUO 17,39,Tug,10
647b19fc6d9bd758b94cb20c,413523430,BOQP6,HAI KOU JIU HAO,129,"Passenger ship, General",21
647b1a006d9bd758b94cb230,413280120,@@@@@@@,HAIXUN11108,31,Law enforcement vessel,6
647b1a076d9bd758b94cb27e,994136755,,GUIBEIYU24022 WRECK ,0,,0
647b1a0a6d9bd758b94cb29c,544142120,C2BT2,XINYUANFU68,55,"Other types of ship, General",19
647b1a176d9bd758b94cb31e,413703770,BQVG,SHUN LONG888,97,"Cargo ship, General",16
647b1a186d9bd758b94cb32b,413525050,,YIN HAI TUO YI,35,Tug,10
647b1a196d9bd758b94cb33c,994136910,,YGZG 0222           ,0,,0
647b1a196d9bd758b94cb33e,413397310,BPDC9,GUO HAI MIN ZHUO,79,"Other types of ship, General",19
647b1a1b6d9bd758b94cb349,413313530,BOVF6,HAI YANG SHI YOU 547,65,Not available / no ship,15
647b1a216d9bd758b94cb37d,413699340,BOZP5,JIN YUAN HE,164,"Cargo ship, General",27
647b1a266d9bd758b94cb3ba,477524300,VROS2,MILD TUNE,147,"Cargo ship, Category X",23
647b1a266d9bd758b94cb3be,413273910,BOOJ9,HAIYANGSHIYOU545,65,"Other types of ship, No additional information",16
647b1a2a6d9bd758b94cb3e1,413233590,BOVY5,SHUANG TAI 26,126,"Passenger ship, General",21
647b1a306d9bd758b94cb41c,994136728,,WRECK YUE YANG JIANG,0,,0
647b1a3e6d9bd758b94cb4a0,413523980,BOVT6,HAI TANG WAN,128,"Passenger ship, General",21
647b1a3f6d9bd758b94cb4aa,413533870,BPGY9,FU LI 10,141,"Cargo ship, General",36
647b1a406d9bd758b94cb4b2,413231030,BOVM9,SHUANG TAI 16,111,"Passenger ship, General",20
647b1a436d9bd758b94cb4d8,413524010,BOVV3,LIU LIAN LING,127,"Passenger ship, General",21
647b1a486d9bd758b94cb4ff,413379360,BPJU9,KAN TAN 211,75,Tug,17
647b1a546d9bd758b94cb56f,413233380,BOVY8,YIN ZI JING,106,"Passenger ship, General",21
647b1a576d9bd758b94cb589,413331080,BFGZ,HAILI,50,"Other types of ship, General",12
647b1a656d9bd758b94cb61e,413521120,BOEB2,BAO DAO 12 HAO,106,"Passenger ship, General",20
647b1a6f6d9bd758b94cb69a,413706390,BPEE8,RONG HAI 78,97,"Cargo ship, General",16
647b1a716d9bd758b94cb6a6,412460080,,HUI TONG 318,53,"Cargo ship, General",9
647b1a746d9bd758b94cb6d6,413390670,BPCT9,TIAN CHEN 1,68,"Vessel, Engaged in dredging or underwater operations",16
647b1a836d9bd758b94cb762,412324520,@@@@@@@,YUANTENG688,85,"Cargo ship, General",13
647b1a886d9bd758b94cb79f,414400650,,ZHE ZHOU YOU 469,91,"Tanker, General",13
